bin,lo,hi,count,bin_accuracy,bin_confidence,gap
0.0,0.0,0.1,0.0,nan,nan,nan
1.0,0.1,0.2,0.0,nan,nan,nan
2.0,0.2,0.30000000000000004,0.0,nan,nan,nan
3.0,0.30000000000000004,0.4,58.0,0.3275862068965517,0.37787124925646287,0.05028504235991116
4.0,0.4,0.5,575.0,0.43130434782608695,0.4658504797583041,0.03454613193221717
5.0,0.5,0.6000000000000001,1644.0,0.572992700729927,0.5546584225048984,0.018334278225028644
6.0,0.6000000000000001,0.7000000000000001,2091.0,0.6719273075083692,0.6510541691898672,0.020873138318501905
7.0,0.7000000000000001,0.8,2688.0,0.7641369047619048,0.7537067792644458,0.01043012549745892
8.0,0.8,0.9,3362.0,0.8661511005353956,0.849152855561788,0.01699824497360758
9.0,0.9,1.0,1614.0,0.9801734820322181,0.9413489522100824,0.03882452982213569
