index,density,expert_len,base_success,adapt_success,base_gap,adapt_gap,delta_gap,root_cause,resolved
384,0.49,9,1,1,2.7777777777777777,2.7777777777777777,0.0,high_obstacle_density,0
372,0.51,7,1,1,2.7142857142857144,2.0,0.7142857142857144,high_obstacle_density,1
378,0.51,6,1,1,2.3333333333333335,2.3333333333333335,0.0,high_obstacle_density,0
81,0.42,7,1,1,2.142857142857143,2.2857142857142856,-0.1428571428571428,large_detour,0
391,0.5,10,1,1,2.1,2.1,0.0,high_obstacle_density,0
233,0.48,11,1,1,2.0,0.09090909090909091,1.9090909090909092,high_obstacle_density,1
169,0.46,7,1,1,2.0,2.0,0.0,high_obstacle_density,0
290,0.48,9,1,1,1.8888888888888888,1.8888888888888888,0.0,high_obstacle_density,0
322,0.45,9,1,1,1.8888888888888888,1.8888888888888888,0.0,large_detour,0
38,0.5,10,1,1,1.8,0.0,1.8,high_obstacle_density,1
